year,type1,type2,type3,type4,type5,type6,type7,type8,type9
1970,2,13,1,0,0,0,0,0,0
1971,1,4,2,0,0,0,0,0,0
1972,0,3,1,0,0,0,0,0,0
1973,2,2,0,0,1,2,0,0,0
1974,0,0,0,0,0,0,0,0,0
1975,2,1,1,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0
1977,0,2,0,0,0,0,0,0,0
1978,1,2,0,0,0,0,0,0,0
1979,0,3,0,0,0,0,0,0,0
1980,1,6,0,0,0,0,0,0,0
1981,3,0,0,0,1,0,0,0,0
1982,1,0,1,0,1,0,0,0,0
1983,0,1,0,0,1,0,1,0,0
1984,2,1,0,0,0,0,0,0,0
1985,0,1,1,0,0,0,1,0,1
1986,1,3,0,0,0,0,0,0,1
1987,0,1,0,0,0,0,1,0,0
1988,0,4,1,0,0,0,0,0,0
1989,1,1,1,0,0,0,0,0,0
1990,3,3,1,0,0,0,0,0,2
1991,2,2,3,0,0,0,0,0,0
1992,0,1,1,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0
1994,0,3,0,0,0,0,0,0,0
1995,2,1,2,0,0,0,0,0,0
1996,0,0,1,0,0,0,0,0,0
1997,0,0,6,0,0,0,0,0,1
1998,17,152,163,1,0,6,3,2,12
1999,43,212,183,2,0,17,4,1,20
2000,81,281,244,0,0,22,4,1,29
2001,95,363,230,4,2,33,19,10,30
2002,56,261,254,2,0,20,1,0,16
2003,72,206,230,0,1,12,2,0,22
2004,76,177,321,1,2,19,2,0,20
2005,192,367,469,1,0,34,2,2,28
2006,121,555,679,0,0,61,8,1,25
2007,119,622,967,1,0,58,11,1,21
2008,128,792,955,3,0,95,13,5,60
2009,154,830,876,1,0,100,15,7,91
2010,240,867,756,1,3,149,13,6,71
2011,217,1096,881,2,0,149,13,5,80
2012,93,357,532,0,4,47,22,2,20
2013,124,374,632,2,2,54,3,0,23
2014,91,333,278,1,6,145,8,2,25
2015,103,233,179,1,14,153,14,1,47
2016,103,244,161,4,6,188,3,3,62
